SN,Total_Feedback_Given,Total_Configured,Questions,Weightage_1,Weightage_2,Weightage_3,Weightage_4,Weightage_5,Average/_Percentage,Course_Name,Basic_Course,Weighted_Average,Average_Percentage,Derived_Sentiment,Synthetic_Feedback,TextBlob_Sentiment,VADER_Sentiment
11,1,12,Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
12,1,12,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,1,12,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2.0,40.0,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
14,1,12,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
15,1,12,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,1,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
16,1,12,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
17,1,12,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
18,1,12,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,0,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2.0,40.0,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
19,1,12,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,1,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
20,1,12,The overall quality of the teaching-learning process in your institute is very good.,0,0,1,0,0,,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
1,1,144,How much of the syllabus was covered in the class?,0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
2,1,144,How well did the teachers prepare for the classes?,0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,1,144,How well were the teachers able to communicate?,0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,1,144,The teachers approach to teaching can best be described as,0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
5,1,144,Fairness of the internal evaluation process by the teachers.,0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,1,144,Was your performance in assignments discussed with you?,0,0,0,1,0,,FYBA,BACHELOR OF ARTS,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
7,1,144,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,,FYBA,BACHELOR OF ARTS,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
8,1,144,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
9,1,144,The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,,FYBA,BACHELOR OF ARTS,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
10,1,144,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
11,1,144,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
12,1,144,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,1,144,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
14,1,144,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
15,1,144,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,0,,FYBA,BACHELOR OF ARTS,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
16,1,144,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,1,0,,FYBA,BACHELOR OF ARTS,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
17,1,144,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,,FYBA,BACHELOR OF ARTS,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
18,1,144,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,1,0,,FYBA,BACHELOR OF ARTS,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
19,1,144,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,0,1,,FYBA,BACHELOR OF ARTS,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
20,1,144,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,0,,FYBA,BACHELOR OF ARTS,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
1,74,119,How much of the syllabus was covered in the class?,1,2,13,27,31,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.148648648648648,82.97297297297297,Positive,The course was very good and the teaching was effective.,Positive,Positive
2,74,119,How well did the teachers prepare for the classes?,1,1,14,52,6,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.824324324324324,76.48648648648648,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,74,119,How well were the teachers able to communicate?,2,1,7,28,36,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.283783783783784,85.67567567567569,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,74,119,The teachers approach to teaching can best be described as,0,5,17,35,17,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.864864864864865,77.29729729729729,Positive,The course was very good and the teaching was effective.,Positive,Positive
5,74,119,Fairness of the internal evaluation process by the teachers.,3,3,9,21,38,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.1891891891891895,83.78378378378379,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,74,119,Was your performance in assignments discussed with you?,1,3,8,27,35,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.243243243243243,84.86486486486487,Positive,The course was very good and the teaching was effective.,Positive,Positive
7,74,119,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",2,6,22,10,34,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.918918918918919,78.37837837837837,Positive,The course was very good and the teaching was effective.,Positive,Positive
8,74,119,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,4,12,40,17,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.918918918918919,78.37837837837837,Positive,The course was very good and the teaching was effective.,Positive,Positive
9,74,119,The institution provides multiple opportunities to learn and grow.,1,3,8,43,19,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.027027027027027,80.54054054054053,Positive,The course was very good and the teaching was effective.,Positive,Positive
10,74,119,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,9,32,30,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.202702702702703,84.05405405405405,Positive,The course was very good and the teaching was effective.,Positive,Positive
11,74,119,Your mentor does a necessary follow-up with an assigned task to you.,2,4,11,30,27,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.027027027027027,80.54054054054053,Positive,The course was very good and the teaching was effective.,Positive,Positive
12,74,119,The teachers illustrate the concepts through examples and applications.,1,4,7,27,35,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.22972972972973,84.5945945945946,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,74,119,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,6,32,33,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.27027027027027,85.4054054054054,Positive,The course was very good and the teaching was effective.,Positive,Positive
14,74,119,Teachers are able to identify your weaknesses and help you to overcome them.,1,3,12,34,24,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.04054054054054,80.8108108108108,Positive,The course was very good and the teaching was effective.,Positive,Positive
15,74,119,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,4,9,46,15,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.972972972972973,79.45945945945945,Positive,The course was very good and the teaching was effective.,Positive,Positive
16,74,119,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,5,5,44,19,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.013513513513513,80.27027027027026,Positive,The course was very good and the teaching was effective.,Positive,Positive
17,74,119,Teachers encourage you to participate in extracurricular activities.,1,2,5,34,32,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.27027027027027,85.4054054054054,Positive,The course was very good and the teaching was effective.,Positive,Positive
18,74,119,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,5,10,35,23,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
19,74,119,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",19,5,26,18,6,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),2.824324324324324,56.486486486486484,Neutral,The course was average and could be improved.,Negative,Positive
20,74,119,The overall quality of the teaching-learning process in your institute is very good.,0,3,10,36,25,,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.121621621621622,82.43243243243244,Positive,The course was very good and the teaching was effective.,Positive,Positive
1,20,33,How much of the syllabus was covered in the class?,0,0,1,4,15,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.7,94.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
2,20,33,How well did the teachers prepare for the classes?,1,1,0,12,6,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.05,81.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,20,33,How well were the teachers able to communicate?,0,1,2,3,14,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,20,33,The teachers approach to teaching can best be described as,0,1,1,8,10,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.35,86.99999999999999,Positive,The course was very good and the teaching was effective.,Positive,Positive
5,20,33,Fairness of the internal evaluation process by the teachers.,0,0,1,9,10,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.45,89.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,20,33,Was your performance in assignments discussed with you?,0,2,0,4,14,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
7,20,33,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,3,1,15,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
8,20,33,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,10,9,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.35,86.99999999999999,Positive,The course was very good and the teaching was effective.,Positive,Positive
9,20,33,The institution provides multiple opportunities to learn and grow.,0,1,3,11,5,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
10,20,33,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,2,15,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
11,20,33,Your mentor does a necessary follow-up with an assigned task to you.,2,2,0,4,12,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.1,82.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
12,20,33,The teachers illustrate the concepts through examples and applications.,2,2,1,2,13,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.1,82.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,20,33,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,0,1,6,12,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.4,88.00000000000001,Positive,The course was very good and the teaching was effective.,Positive,Positive
14,20,33,Teachers are able to identify your weaknesses and help you to overcome them.,1,1,0,6,12,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.35,86.99999999999999,Positive,The course was very good and the teaching was effective.,Positive,Positive
15,20,33,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,0,2,6,11,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.3,86.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
16,20,33,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,1,2,3,13,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.3,86.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
17,20,33,Teachers encourage you to participate in extracurricular activities.,1,0,1,8,10,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.3,86.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
18,20,33,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,1,1,4,13,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.35,86.99999999999999,Positive,The course was very good and the teaching was effective.,Positive,Positive
19,20,33,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,2,8,10,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.4,88.00000000000001,Positive,The course was very good and the teaching was effective.,Positive,Positive
20,20,33,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,10,10,,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
1,26,122,How much of the syllabus was covered in the class?,1,1,8,6,10,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,3.8846153846153846,77.6923076923077,Positive,The course was very good and the teaching was effective.,Positive,Positive
2,26,122,How well did the teachers prepare for the classes?,1,0,6,13,6,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,3.8846153846153846,77.6923076923077,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,26,122,How well were the teachers able to communicate?,0,3,3,8,12,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.115384615384615,82.3076923076923,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,26,122,The teachers approach to teaching can best be described as,1,2,3,10,10,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
5,26,122,Fairness of the internal evaluation process by the teachers.,1,2,3,8,12,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.076923076923077,81.53846153846153,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,26,122,Was your performance in assignments discussed with you?,2,1,6,7,10,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,3.8461538461538463,76.92307692307693,Positive,The course was very good and the teaching was effective.,Positive,Positive
7,26,122,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",3,0,2,10,11,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
8,26,122,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,3,2,10,11,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.115384615384615,82.3076923076923,Positive,The course was very good and the teaching was effective.,Positive,Positive
9,26,122,The institution provides multiple opportunities to learn and grow.,1,1,1,13,10,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.153846153846154,83.07692307692308,Positive,The course was very good and the teaching was effective.,Positive,Positive
10,26,122,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,2,9,12,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.153846153846154,83.07692307692308,Positive,The course was very good and the teaching was effective.,Positive,Positive
11,26,122,Your mentor does a necessary follow-up with an assigned task to you.,2,1,5,5,13,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
12,26,122,The teachers illustrate the concepts through examples and applications.,2,1,3,7,13,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.076923076923077,81.53846153846153,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,26,122,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,2,4,4,16,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.3076923076923075,86.15384615384615,Positive,The course was very good and the teaching was effective.,Positive,Positive
14,26,122,Teachers are able to identify your weaknesses and help you to overcome them.,0,2,3,6,15,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.3076923076923075,86.15384615384615,Positive,The course was very good and the teaching was effective.,Positive,Positive
15,26,122,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,4,7,14,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.3076923076923075,86.15384615384615,Positive,The course was very good and the teaching was effective.,Positive,Positive
16,26,122,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,3,6,3,13,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,3.923076923076923,78.46153846153847,Positive,The course was very good and the teaching was effective.,Positive,Positive
17,26,122,Teachers encourage you to participate in extracurricular activities.,0,2,5,5,14,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.1923076923076925,83.84615384615385,Positive,The course was very good and the teaching was effective.,Positive,Positive
18,26,122,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",3,0,2,7,14,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.115384615384615,82.3076923076923,Positive,The course was very good and the teaching was effective.,Positive,Positive
19,26,122,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,1,5,10,7,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,3.6538461538461537,73.07692307692307,Positive,The course was very good and the teaching was effective.,Positive,Positive
20,26,122,The overall quality of the teaching-learning process in your institute is very good.,0,2,2,9,13,,FYBMS ,BACHELOR OF MANAGEMENT STUDIES,4.269230769230769,85.38461538461539,Positive,The course was very good and the teaching was effective.,Positive,Positive
1,12,175,How much of the syllabus was covered in the class?,0,1,3,4,4,,FYBSC,BACHELOR OF SCIENCE,3.9166666666666665,78.33333333333333,Positive,The course was very good and the teaching was effective.,Positive,Positive
2,12,175,How well did the teachers prepare for the classes?,0,0,0,9,3,,FYBSC,BACHELOR OF SCIENCE,4.25,85.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,12,175,How well were the teachers able to communicate?,0,0,0,4,8,,FYBSC,BACHELOR OF SCIENCE,4.666666666666667,93.33333333333333,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,12,175,The teachers approach to teaching can best be described as,0,1,4,6,1,,FYBSC,BACHELOR OF SCIENCE,3.5833333333333335,71.66666666666667,Positive,The course was very good and the teaching was effective.,Positive,Positive
5,12,175,Fairness of the internal evaluation process by the teachers.,0,2,1,1,8,,FYBSC,BACHELOR OF SCIENCE,4.25,85.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,12,175,Was your performance in assignments discussed with you?,0,2,3,4,3,,FYBSC,BACHELOR OF SCIENCE,3.6666666666666665,73.33333333333333,Positive,The course was very good and the teaching was effective.,Positive,Positive
7,12,175,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,5,1,5,,FYBSC,BACHELOR OF SCIENCE,3.8333333333333335,76.66666666666667,Positive,The course was very good and the teaching was effective.,Positive,Positive
8,12,175,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,2,6,2,,FYBSC,BACHELOR OF SCIENCE,3.5833333333333335,71.66666666666667,Positive,The course was very good and the teaching was effective.,Positive,Positive
9,12,175,The institution provides multiple opportunities to learn and grow.,0,1,3,5,3,,FYBSC,BACHELOR OF SCIENCE,3.8333333333333335,76.66666666666667,Positive,The course was very good and the teaching was effective.,Positive,Positive
10,12,175,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,1,4,6,,FYBSC,BACHELOR OF SCIENCE,4.25,85.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
11,12,175,Your mentor does a necessary follow-up with an assigned task to you.,0,5,1,3,3,,FYBSC,BACHELOR OF SCIENCE,3.3333333333333335,66.66666666666667,Positive,The course was very good and the teaching was effective.,Positive,Positive
12,12,175,The teachers illustrate the concepts through examples and applications.,0,3,1,3,5,,FYBSC,BACHELOR OF SCIENCE,3.8333333333333335,76.66666666666667,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,12,175,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,2,4,3,,FYBSC,BACHELOR OF SCIENCE,3.5,70.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
14,12,175,Teachers are able to identify your weaknesses and help you to overcome them.,0,2,2,6,2,,FYBSC,BACHELOR OF SCIENCE,3.6666666666666665,73.33333333333333,Positive,The course was very good and the teaching was effective.,Positive,Positive
15,12,175,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,1,1,7,2,,FYBSC,BACHELOR OF SCIENCE,3.6666666666666665,73.33333333333333,Positive,The course was very good and the teaching was effective.,Positive,Positive
16,12,175,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,3,7,2,,FYBSC,BACHELOR OF SCIENCE,3.9166666666666665,78.33333333333333,Positive,The course was very good and the teaching was effective.,Positive,Positive
17,12,175,Teachers encourage you to participate in extracurricular activities.,0,0,2,6,4,,FYBSC,BACHELOR OF SCIENCE,4.166666666666667,83.33333333333334,Positive,The course was very good and the teaching was effective.,Positive,Positive
